Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
25,46,14,37,42,89.9,50,6,0,2,2,-2,4,2,-2,6,-1,-1,,
4,7,9,-1,-1,37.9,47,49,1,3,4,3,4,2,3,7,-1,-1,,
20,6,49,33,0,46.7,12,36,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,50,14,28,1,4,4,4,4,6,-1,-1,-1,-1,,
38,41,34,27,32,33.7,25,5,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,92.5,11,49,1,4,4,4,4,6,-1,-1,-1,-1,,
34,2,1,44,45,90.3,49,31,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,40.3,36,32,1,3,4,3,4,4,6,-1,-1,-1,,
30,9,38,36,15,82.95,32,47,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,52.6,21,45,1,3,4,4,4,6,-1,-1,-1,-1,,
13,48,11,32,41,44.2,36,31,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,85.55,9,20,1,4,4,4,4,6,-1,-1,-1,-1,,
16,15,18,3,26,60,9,25,0,2,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,60,46,41,1,3,4,4,4,3,7,-1,-1,-1,,
9,5,24,13,44,49.97,29,26,0,3,3,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,83.63,35,25,1,4,2,2,4,6,-1,-1,-1,-1,,
47,21,35,8,7,45.67,18,6,0,2,2,-2,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,87.13,51,36,1,3,4,3,4,4,6,-1,-1,-1,,
46,44,16,2,5,57,50,42,0,3,3,4,4,4,6,-1,-1,-1,,
5,7,9,-1,-1,62.7,49,30,1,2,-2,4,4,4,6,-1,-1,-1,,
33,25,27,20,22,60.7,29,11,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,58.8,39,5,1,4,4,4,4,6,-1,-1,-1,-1,,
2,15,25,13,37,60,14,40,0,2,2,-2,2,-2,4,6,-1,-1,,
4,7,10,-1,-1,59,20,23,1,3,4,3,4,3,4,6,-1,-1,,
14,16,36,34,20,55,40,50,0,2,2,-2,2,-2,4,7,-1,-1,,
4,7,10,-1,-1,63.6,22,6,1,3,4,3,4,3,4,6,-1,-1,,
31,15,33,5,49,46.47,38,37,0,3,3,2,9,6,-1,-1,-1,-1,,
5,10,10,-1,-1,83.13,32,20,1,2,-2,2,2,6,-1,-1,-1,-1,,
50,38,36,11,45,39,5,9,0,3,3,4,2,-2,4,7,-1,-1,,
5,7,10,-1,-1,78.9,32,47,1,2,-2,4,4,3,4,6,-1,-1,,
19,7,43,31,35,39.5,23,5,0,3,3,3,3,9,7,-1,-1,-1,,
5,7,9,-1,-1,77.4,30,51,1,2,-2,2,2,9,6,-1,-1,-1,,
15,28,45,50,49,135.91,27,24,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,91.54,41,36,1,3,4,4,4,6,-1,-1,-1,-1,,
38,46,14,39,15,91.24,35,32,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,135.56,33,49,1,4,4,4,4,6,-1,-1,-1,-1,,
25,23,32,43,37,92.64,9,1,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,134.06,17,12,1,4,4,4,4,6,-1,-1,-1,-1,,
47,12,20,38,6,91.59,17,37,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,135.01,25,3,1,4,4,4,4,6,-1,-1,-1,-1,,
47,5,42,16,39,94.04,33,37,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,132.01,48,0,1,3,4,4,4,6,-1,-1,-1,-1,,
17,22,49,43,6,50.88,50,1,0,3,2,-2,2,-2,4,6,-1,-1,,
4,7,10,-1,-1,102.7,30,25,1,4,2,3,4,3,4,6,-1,-1,,
10,36,0,40,23,69.88,44,20,0,3,3,4,2,2,9,-2,6,-1,,
5,7,14,-1,-1,82.7,51,50,1,2,-2,4,2,2,2,3,6,-1,,
33,47,0,35,21,138.26,14,51,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,53.82,3,4,1,4,4,4,4,6,-1,-1,-1,-1,,
19,2,8,33,32,137.66,46,14,0,3,3,3,4,4,7,-1,-1,-1,,
5,7,9,-1,-1,134.22,37,48,1,2,-2,2,4,4,6,-1,-1,-1,,
23,17,9,5,40,152.66,51,43,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,157.92,44,7,1,4,4,4,4,6,-1,-1,-1,-1,,
30,16,18,49,43,100,37,29,0,2,3,2,9,-2,6,-1,-1,-1,,
5,11,11,-1,-1,60,46,44,1,2,-2,4,2,9,6,-1,-1,-1,,
49,28,27,35,23,98.4,43,4,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,121,26,47,1,3,4,3,4,4,6,-1,-1,-1,,
39,24,8,16,0,96.7,47,25,0,2,2,-2,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,120.6,10,13,1,3,4,3,4,4,6,-1,-1,-1,,
40,43,31,6,38,102.2,13,1,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,114.6,15,47,1,3,4,3,4,4,6,-1,-1,-1,,
27,8,11,10,7,95.9,43,39,0,2,2,-2,4,3,7,-1,-1,-1,,
