Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
37,51,48,9,7,19.2,38,42,1,4,4,2,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,20.1,-1,-1,0,3,4,3,3,7,-1,-1,-1,-1,,
12,11,39,24,4,37.3,36,28,1,3,4,3,4,3,4,6,-1,-1,,
4,7,10,-1,-1,138.1,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1,,
42,23,2,33,26,14.8,43,3,0,2,3,2,-2,3,6,-1,-1,-1,,
4,6,9,-1,-1,19,1,15,1,3,2,2,3,2,6,-1,-1,-1,,
3,29,51,24,5,26,-1,-1,0,3,3,2,2,3,7,-1,-1,-1,,
5,11,11,-1,-1,12.55,49,30,1,2,-2,4,2,9,6,-1,-1,-1,,
40,3,14,32,38,30.35,-1,-1,0,2,9,7,-1,-1,-1,-1,-1,-1,,
6,6,6,-1,-1,51.35,46,49,1,2,3,6,-1,-1,-1,-1,-1,-1,,
36,35,26,6,34,36.5,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,18.1,31,8,1,4,4,4,4,6,-1,-1,-1,-1,,
22,4,2,38,19,36,48,15,1,4,2,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,18.55,43,3,0,3,3,4,4,6,-1,-1,-1,-1,,
47,7,44,45,49,35,22,17,0,3,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,19.5,2,3,1,4,4,4,4,3,6,-1,-1,-1,,
13,16,50,2,34,34.45,48,44,0,3,2,-2,4,3,6,-1,-1,-1,,
4,7,9,-1,-1,19.95,21,25,1,4,4,3,4,2,6,-1,-1,-1,,
8,2,25,18,35,35.75,41,43,1,2,-2,2,2,3,6,-1,-1,-1,,
5,10,10,-1,-1,18.4,0,11,0,3,3,2,9,-2,6,-1,-1,-1,,
43,7,9,38,31,17.35,0,5,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,36.3,14,25,1,4,4,4,4,6,-1,-1,-1,-1,,
12,39,30,46,43,41.8,-1,-1,0,3,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,132.15,44,29,1,4,4,3,4,4,6,-1,-1,-1,,
51,38,19,20,43,50,9,13,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,35.8,42,46,0,3,4,4,4,6,-1,-1,-1,-1,,
6,25,39,23,18,48.75,5,10,1,4,4,4,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,36.9,31,21,0,3,4,4,3,6,-1,-1,-1,-1,,
29,44,47,6,32,19.9,46,45,0,2,3,3,6,-1,-1,-1,-1,-1,,
4,6,8,-1,-1,17.1,23,40,1,3,2,9,6,-1,-1,-1,-1,-1,,
8,23,34,32,46,45.75,47,26,1,4,4,4,4,2,6,-1,-1,-1,,
4,6,8,-1,-1,39.65,-1,-1,0,3,4,4,2,3,7,-1,-1,-1,,
15,49,34,6,36,47.75,3,51,0,2,3,3,3,4,6,-1,-1,-1,,
5,7,9,-1,-1,58.7,45,37,1,2,-2,2,2,4,6,-1,-1,-1,,
9,28,3,33,45,48.05,2,16,0,3,2,-2,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,37.15,0,4,1,4,4,3,4,4,6,-1,-1,-1,,
28,37,9,30,44,48,25,0,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,37.15,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
0,2,26,37,34,55.25,-1,-1,0,2,3,3,3,7,-1,-1,-1,-1,,
4,6,8,-1,-1,50.65,22,38,1,3,2,2,2,6,-1,-1,-1,-1,,
32,34,51,45,21,44.8,-1,-1,0,2,3,3,3,9,7,-1,-1,-1,,
5,7,9,-1,-1,121.55,2,50,1,2,-2,2,2,2,6,-1,-1,-1,,
46,18,39,5,40,48.45,44,11,0,3,2,-2,4,2,-2,6,-1,-1,,
4,7,9,-1,-1,36.65,43,37,1,4,4,3,4,4,3,6,-1,-1,,
40,21,7,29,14,46.7,37,9,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,38.25,0,34,1,4,4,4,4,6,-1,-1,-1,-1,,
4,12,5,39,13,25,32,17,1,3,6,-1,-1,-1,-1,-1,-1,-1,,
6,7,7,-1,-1,19.15,50,10,0,9,6,-1,-1,-1,-1,-1,-1,-1,,
31,44,7,13,39,25,48,30,0,9,6,-1,-1,-1,-1,-1,-1,-1,,
23,23,23,-1,-1,37.8,16,40,1,3,6,-1,-1,-1,-1,-1,-1,-1,,
1,3,37,40,45,33.75,-1,-1,0,2,2,-2,3,3,7,-1,-1,-1,,
4,7,9,-1,-1,32.15,41,34,1,3,2,3,2,2,6,-1,-1,-1,,
42,36,46,2,7,48.1,43,26,0,2,3,3,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,72,37,17,1,3,2,2,4,6,-1,-1,-1,-1,,
13,50,40,41,23,25.25,19,3,1,4,4,4,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,40.15,22,37,0,3,4,4,3,6,-1,-1,-1,-1,,
35,8,19,25,13,54.1,47,26,0,2,3,2,-2,3,6,-1,-1,-1,,
4,6,9,-1,-1,65.45,37,16,1,3,2,2,3,2,6,-1,-1,-1,,
30,47,19,3,25,50.5,14,23,1,3,4,3,4,3,4,6,-1,-1,,
4,7,10,-1,-1,165.85,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1,,
34,51,27,33,46,49.5,21,39,1,3,6,-1,-1,-1,-1,-1,-1,-1,,
4,7,7,-1,-1,12.8,6,41,0,9,6,-1,-1,-1,-1,-1,-1,-1,,
