Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9
39,27,16,17,20,55.9,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1
4,7,10,-1,-1,238.5,24,47,1,3,4,3,4,3,4,6,-1,-1
12,5,17,21,26,254.65,1,49,0,2,2,3,4,9,-2,6,-1,-1
4,8,10,-1,-1,118.2,-1,-1,1,3,4,2,4,2,9,7,-1,-1
4,28,44,19,6,42.9,31,34,0,3,3,3,9,6,-1,-1,-1,-1
5,7,9,-1,-1,251,26,48,1,2,-2,2,2,6,-1,-1,-1,-1
9,20,0,36,47,202,51,4,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,281,6,49,0,2,4,4,4,6,-1,-1,-1,-1
48,23,0,22,36,203.75,31,41,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,278.75,1,45,0,2,4,4,4,6,-1,-1,-1,-1
18,6,20,1,47,358.35,48,45,0,2,4,3,2,-2,6,-1,-1,-1
4,6,8,-1,-1,163.5,-1,-1,1,3,4,2,4,3,7,-1,-1,-1
22,41,17,37,39,379.85,-1,-1,1,3,4,3,4,4,3,7,-1,-1
4,7,9,-1,-1,141.5,43,46,0,2,2,-2,4,2,-2,6,-1,-1
46,4,5,23,49,349.85,9,8,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,171,45,35,0,2,2,-2,4,4,6,-1,-1,-1
7,9,51,37,43,339.5,-1,-1,0,3,3,3,2,-2,4,7,-1,-1
5,7,10,-1,-1,376.5,48,34,1,2,-2,2,4,3,4,6,-1,-1
49,38,28,5,50,291.35,36,8,1,3,4,3,4,2,6,-1,-1,-1
4,7,9,-1,-1,227,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1
11,27,5,38,46,326,31,37,1,3,4,2,2,6,-1,-1,-1,-1
4,6,8,-1,-1,387.5,-1,-1,0,2,4,3,3,7,-1,-1,-1,-1
36,42,21,17,6,349,32,49,1,3,4,3,4,2,2,6,-1,-1
4,7,11,-1,-1,363,22,38,0,2,2,-2,2,3,3,6,-1,-1
0,16,18,50,46,205.5,-1,-1,1,3,4,4,4,3,7,-1,-1,-1
4,6,8,-1,-1,80.45,17,25,0,2,4,4,2,-2,6,-1,-1,-1
8,0,11,6,4,216,44,38,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,495.5,40,34,1,3,4,4,4,6,-1,-1,-1,-1
49,21,42,10,16,274.5,9,7,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,861.4,22,33,0,2,4,4,4,6,-1,-1,-1,-1
39,5,21,32,14,219,30,34,0,2,4,3,3,6,-1,-1,-1,-1
4,6,8,-1,-1,66.95,15,43,1,3,4,2,2,6,-1,-1,-1,-1
28,51,32,46,49,274,24,30,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,860.9,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
9,32,42,45,2,224,34,39,1,3,2,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,485.5,35,50,0,2,3,4,4,6,-1,-1,-1,-1
31,25,41,37,50,279.5,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,854.9,9,1,1,3,4,3,4,4,6,-1,-1,-1
31,25,50,49,2,232.5,-1,-1,0,2,4,3,3,7,-1,-1,-1,-1
4,6,8,-1,-1,52.75,24,45,1,3,4,2,2,6,-1,-1,-1,-1
42,51,49,31,21,409.4,-1,-1,1,3,4,4,3,4,3,7,-1,-1
4,6,9,-1,-1,207.5,43,50,0,2,4,2,-2,2,-2,6,-1,-1
33,21,43,25,28,238.5,49,19,1,3,4,3,4,3,4,6,-1,-1
4,7,10,-1,-1,44.7,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1
28,7,33,35,0,399.4,-1,-1,1,3,4,3,4,2,3,7,-1,-1
4,7,9,-1,-1,216,29,30,0,2,2,-2,4,2,-2,6,-1,-1
33,48,18,31,39,267.5,32,26,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,440,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
20,33,0,9,26,331.5,28,49,0,2,3,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,799.9,47,42,1,2,-2,4,4,4,6,-1,-1,-1
26,0,33,40,44,318,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,387,29,42,1,3,4,3,4,4,6,-1,-1,-1
11,1,33,9,20,404.5,42,17,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,724.4,45,19,0,2,4,4,4,6,-1,-1,-1,-1
12,51,45,24,13,400.5,2,49,1,3,2,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,727.9,-1,-1,0,2,3,3,4,7,-1,-1,-1,-1
24,49,2,40,16,355.5,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,348.5,23,51,1,3,4,3,4,4,6,-1,-1,-1
9,47,40,24,3,427,38,2,1,3,4,4,4,3,6,-1,-1,-1
4,6,8,-1,-1,700.4,22,14,0,2,4,4,2,-2,6,-1,-1,-1
37,28,15,13,42,339.8,24,44,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,362.5,10,49,0,2,4,4,4,6,-1,-1,-1,-1
45,29,0,14,7,250.5,32,34,1,2,-2,2,2,4,6,-1,-1,-1
5,7,9,-1,-1,334,-1,-1,0,2,3,3,3,4,7,-1,-1,-1
48,44,34,17,46,639.5,20,8,1,2,-2,2,2,2,6,-1,-1,-1
5,7,9,-1,-1,360.25,25,50,0,2,3,3,3,3,6,-1,-1,-1
17,41,13,47,38,360.5,36,27,0,2,3,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,223,31,50,1,2,-2,4,4,4,6,-1,-1,-1
10,0,48,6,5,375,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1
4,7,10,-1,-1,208,16,51,1,3,4,3,4,3,4,6,-1,-1
38,35,5,31,23,341,24,8,0,2,2,-2,4,3,6,-1,-1,-1
4,7,9,-1,-1,241.5,30,36,1,3,4,3,4,2,6,-1,-1,-1
16,28,13,7,22,398,48,24,0,2,2,-2,2,-2,2,-2,6,-1
4,7,10,-1,-1,599.75,-1,-1,1,3,4,3,4,3,4,3,7,-1
24,3,31,49,14,373.5,16,28,0,2,2,-2,2,-2,4,6,-1,-1
4,7,10,-1,-1,208.3,45,27,1,3,4,3,4,3,4,6,-1,-1
14,45,0,27,32,486.5,36,47,1,2,-2,2,2,2,6,-1,-1,-1
5,7,9,-1,-1,510.75,-1,-1,0,2,3,3,3,3,7,-1,-1,-1
7,22,46,27,26,410,-1,-1,0,2,3,3,2,3,7,-1,-1,-1
5,7,11,-1,-1,171.3,48,47,1,2,-2,2,2,9,6,-1,-1,-1
8,41,16,17,12,680.5,34,32,1,2,-2,2,4,2,6,-1,-1,-1
5,7,9,-1,-1,315.75,-1,-1,0,2,3,3,4,3,7,-1,-1,-1
0,20,4,34,3,756,-1,-1,0,2,4,2,-2,2,3,7,-1,-1
4,6,9,-1,-1,239.75,33,1,1,3,4,2,3,4,9,6,-1,-1
28,16,12,39,48,203.5,43,32,1,3,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,384.1,-1,-1,0,2,4,3,4,7,-1,-1,-1,-1
19,18,31,6,11,533.75,51,8,0,2,3,2,-2,4,4,6,-1,-1
5,8,10,-1,-1,461,38,50,1,2,-2,4,3,4,4,6,-1,-1
37,9,32,29,15,191,23,21,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,394.6,16,10,1,3,4,4,4,6,-1,-1,-1,-1
35,48,29,2,30,196.5,43,32,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,388.6,38,34,0,2,2,-2,4,4,6,-1,-1,-1
25,19,47,40,39,196.25,8,11,0,2,2,-2,4,4,6,-1,-1,-1
4,7,9,-1,-1,388.35,48,20,1,3,4,3,4,4,6,-1,-1,-1
17,31,16,29,46,213.25,49,7,0,2,2,-2,4,4,6,-1,-1,-1
4,7,9,-1,-1,370.35,1,3,1,3,4,3,4,4,6,-1,-1,-1
30,1,15,20,27,226.75,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,356.35,50,7,1,3,4,4,4,6,-1,-1,-1,-1
23,4,37,3,12,483.2,46,21,0,2,2,-2,4,4,6,-1,-1,-1
4,7,9,-1,-1,142.5,44,33,1,3,4,3,4,4,6,-1,-1,-1
23,42,38,50,30,493.7,48,37,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,131.5,22,5,0,2,4,4,4,6,-1,-1,-1,-1
7,4,33,20,47,486.7,30,32,1,3,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,138,-1,-1,0,2,4,3,4,7,-1,-1,-1,-1
5,25,36,32,31,203,38,35,1,3,4,2,2,9,6,-1,-1,-1
4,8,11,-1,-1,357.75,26,43,0,2,2,3,2,-2,6,-1,-1,-1
12,14,32,33,41,114.8,48,11,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,226.3,2,25,1,4,4,4,4,6,-1,-1,-1,-1
18,3,7,35,8,496.7,32,12,0,2,4,2,-2,2,-2,6,-1,-1
4,6,9,-1,-1,125,-1,-1,1,3,4,4,3,4,3,7,-1,-1
1,14,29,47,28,210.5,5,13,0,3,3,3,4,6,-1,-1,-1,-1
4,6,8,-1,-1,200,21,37,1,4,2,2,4,6,-1,-1,-1,-1
43,36,0,4,14,513.2,30,31,1,2,3,6,-1,-1,-1,-1,-1,-1
6,6,6,-1,-1,107.5,29,28,0,2,9,6,-1,-1,-1,-1,-1,-1
32,33,8,21,34,224.5,30,42,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,637.25,46,51,0,2,4,4,4,6,-1,-1,-1,-1
29,11,28,43,23,218.5,25,50,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,642.75,48,14,1,3,4,4,4,6,-1,-1,-1,-1
15,10,21,49,48,210,51,31,1,3,4,3,4,3,4,6,-1,-1
4,7,10,-1,-1,709.75,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1
10,42,45,19,9,549.45,-1,-1,1,3,4,3,4,4,3,7,-1,-1
4,7,9,-1,-1,70.25,40,30,0,2,2,-2,4,2,-2,6,-1,-1
17,48,45,46,11,227.5,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1
4,7,9,-1,-1,690.75,42,47,1,3,4,3,4,2,6,-1,-1,-1
26,36,37,21,51,514,27,38,1,3,4,2,4,2,2,6,-1,-1
4,8,12,-1,-1,609.9,-1,-1,0,2,2,3,2,3,3,7,-1,-1
23,42,36,33,10,835.5,37,20,0,2,2,2,-2,4,4,6,-1,-1
4,9,11,-1,-1,287.9,24,40,1,3,4,2,3,4,4,6,-1,-1
18,26,11,33,21,300.1,40,47,1,2,-2,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,400,20,48,0,2,3,4,4,4,6,-1,-1,-1
16,31,9,22,26,224,50,29,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,252.5,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
29,7,24,34,28,912.5,9,21,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,209.4,13,42,0,2,4,4,4,6,-1,-1,-1,-1
40,2,38,10,8,892.5,21,30,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,228.4,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
19,9,18,1,40,860,51,47,0,2,3,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,258.9,48,32,1,2,-2,4,4,4,6,-1,-1,-1
43,20,25,16,8,311.1,18,51,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,386,7,49,1,4,4,4,4,6,-1,-1,-1,-1
12,36,43,28,3,885,51,39,0,2,3,3,4,4,6,-1,-1,-1
5,7,9,-1,-1,232.9,34,49,1,2,-2,2,4,4,6,-1,-1,-1
13,19,23,43,49,935,33,24,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,200,34,22,0,2,2,-2,4,4,6,-1,-1,-1
45,47,7,32,22,61.9,27,25,0,2,2,-2,4,4,6,-1,-1,-1
4,7,9,-1,-1,222.65,51,18,1,3,4,3,4,4,6,-1,-1,-1
41,42,29,20,36,71.4,43,30,0,2,4,3,9,-2,6,-1,-1,-1
4,6,8,-1,-1,212.65,-1,-1,1,3,4,2,2,3,7,-1,-1,-1
48,40,9,50,18,293,7,51,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,222,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
23,38,41,3,6,156.8,43,4,0,2,2,3,3,9,6,-1,-1,-1
4,8,10,-1,-1,205.5,35,28,1,3,4,2,2,9,6,-1,-1,-1
43,32,47,15,23,314.5,42,41,0,2,2,3,6,-1,-1,-1,-1,-1
7,7,7,-1,-1,200,36,37,1,2,9,-2,6,-1,-1,-1,-1,-1
23,14,16,5,25,339.9,-1,-1,0,3,3,3,4,4,7,-1,-1,-1
5,7,9,-1,-1,354.5,28,34,1,2,-2,2,4,4,6,-1,-1,-1
43,50,33,9,10,308.4,-1,-1,0,3,2,-2,2,3,4,7,-1,-1
4,7,11,-1,-1,384.5,32,8,1,4,4,3,4,2,4,6,-1,-1
17,33,42,40,0,310.7,35,7,1,3,2,2,2,6,-1,-1,-1,-1
4,6,8,-1,-1,200,-1,-1,0,2,3,3,3,7,-1,-1,-1,-1
9,40,31,30,46,505.5,29,6,0,2,4,2,-2,4,6,-1,-1,-1
4,6,9,-1,-1,211,38,43,1,3,4,2,3,4,6,-1,-1,-1
19,45,25,43,4,338.2,16,33,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,202,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
22,3,10,30,4,278.9,49,25,1,3,4,2,4,4,6,-1,-1,-1
4,8,10,-1,-1,413,21,19,0,2,2,3,4,4,6,-1,-1,-1
45,10,47,50,23,323.35,17,42,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,177,39,32,1,3,4,4,4,6,-1,-1,-1,-1
