Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
40,8,27,25,26,247.5,4,31,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,372.1,46,2,0,3,4,4,4,6,-1,-1,-1,-1,,
5,0,29,13,37,348.9,6,34,1,3,4,3,4,3,4,6,-1,-1,,
4,7,10,-1,-1,251,36,23,0,2,2,-2,2,-2,4,6,-1,-1,,
30,46,49,51,35,409.5,42,37,0,2,2,-2,4,2,-2,6,-1,-1,,
4,7,9,-1,-1,197.75,-1,-1,1,3,4,3,4,2,3,7,-1,-1,,
12,25,40,28,41,348.7,44,24,0,3,3,3,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,249,-1,-1,1,4,2,2,2,3,7,-1,-1,-1,,
14,17,12,39,11,380,30,29,1,2,-2,2,3,4,3,4,6,-1,,
5,8,11,-1,-1,226.05,-1,-1,0,3,3,2,-2,2,-2,4,7,-1,,
31,51,40,14,13,330.7,9,10,0,3,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,264.3,-1,-1,1,4,4,4,4,3,7,-1,-1,-1,,
2,16,4,9,7,328.2,32,28,1,3,4,4,3,4,6,-1,-1,-1,,
4,6,9,-1,-1,265.8,37,11,0,2,4,2,-2,4,6,-1,-1,-1,,
25,20,51,9,29,427,-1,-1,0,2,3,4,2,3,4,7,-1,-1,,
5,7,11,-1,-1,177.55,18,15,1,2,-2,4,4,2,4,6,-1,-1,,
40,32,34,26,19,389,37,13,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,215.05,23,17,0,3,4,4,4,6,-1,-1,-1,-1,,
48,23,42,5,4,311,51,30,0,3,3,2,-2,2,-2,2,-2,6,,
5,8,11,-1,-1,282.3,-1,-1,1,2,-2,4,3,4,3,4,3,7,,
0,2,1,3,48,342.5,21,34,0,3,3,3,3,6,-1,-1,-1,-1,,
4,6,8,-1,-1,249.8,44,9,1,4,2,2,9,6,-1,-1,-1,-1,,
36,12,10,38,41,328,11,37,1,4,4,2,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,273.65,-1,-1,0,3,4,3,3,7,-1,-1,-1,-1,,
18,14,6,17,11,366.25,35,46,1,3,4,3,4,2,6,-1,-1,-1,,
4,7,9,-1,-1,224.05,45,9,0,2,2,-2,4,3,6,-1,-1,-1,,
3,28,24,30,5,260.5,10,9,0,2,3,4,3,3,6,-1,-1,-1,,
5,7,9,-1,-1,209.5,48,35,1,2,-2,4,2,2,6,-1,-1,-1,,
33,22,11,45,25,340.25,29,34,0,3,3,3,3,6,-1,-1,-1,-1,,
4,6,8,-1,-1,249.55,6,32,1,4,2,2,2,6,-1,-1,-1,-1,,
40,45,18,10,42,369.75,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,219.05,5,51,1,4,4,4,4,6,-1,-1,-1,-1,,
6,11,3,42,51,263,43,20,0,2,2,-2,2,3,4,6,-1,-1,,
4,7,11,-1,-1,336.65,40,18,1,3,4,3,4,2,4,6,-1,-1,,
23,44,37,45,1,350.25,49,13,0,3,4,3,2,3,6,-1,-1,-1,,
4,6,8,-1,-1,236.35,9,17,1,4,4,2,2,9,6,-1,-1,-1,,
21,32,19,49,35,147,51,36,1,2,9,-2,6,-1,-1,-1,-1,-1,,
7,7,7,-1,-1,113.8,48,50,0,2,2,9,6,-1,-1,-1,-1,-1,,
44,37,14,24,36,585.9,33,38,1,3,4,3,4,3,4,6,-1,-1,,
4,7,10,-1,-1,198,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1,,
17,20,47,3,36,362,-1,-1,0,2,3,4,4,3,7,-1,-1,-1,,
5,7,9,-1,-1,236.65,44,33,1,2,-2,4,4,2,6,-1,-1,-1,,
23,24,32,18,31,621.4,28,48,0,3,3,2,-2,4,6,-1,-1,-1,,
4,6,9,-1,-1,162,35,8,1,4,2,2,3,4,6,-1,-1,-1,,
26,23,32,49,33,87.5,17,11,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,38,42,46,0,3,4,4,4,6,-1,-1,-1,-1,,
3,32,22,16,23,324,48,50,0,2,2,-2,2,-2,2,-2,6,-1,,
4,7,10,-1,-1,273.65,-1,-1,1,3,4,3,4,3,4,3,7,-1,,
31,15,30,24,1,79.6,-1,-1,1,4,4,3,4,4,3,7,-1,-1,,
4,7,9,-1,-1,44.6,12,49,0,3,2,-2,4,2,-2,6,-1,-1,,
45,47,11,29,19,217,44,0,1,3,4,2,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,566.5,-1,-1,0,2,4,3,3,7,-1,-1,-1,-1,,
9,27,28,36,10,73.6,-1,-1,0,3,3,4,4,4,7,-1,-1,-1,,
5,7,9,-1,-1,50.1,14,13,1,2,-2,4,4,4,6,-1,-1,-1,,
23,40,47,25,51,62.4,50,12,1,2,-2,4,4,4,6,-1,-1,-1,,
5,7,9,-1,-1,60.7,-1,-1,0,2,3,4,4,4,7,-1,-1,-1,,
48,26,20,30,31,207.5,-1,-1,0,2,2,9,-2,7,-1,-1,-1,-1,,
4,9,9,-1,-1,615,12,16,1,3,2,2,3,6,-1,-1,-1,-1,,
30,37,43,9,14,76.9,-1,-1,0,2,3,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,45.7,2,38,1,3,2,4,4,6,-1,-1,-1,-1,,
24,18,39,5,30,83,48,22,1,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,65.2,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1,,
16,34,14,27,24,223.5,44,46,1,2,-2,4,2,9,6,-1,-1,-1,,
5,9,11,-1,-1,800,-1,-1,0,2,3,2,3,3,7,-1,-1,-1,,
37,7,25,45,12,218,40,30,1,4,2,2,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,200.5,14,27,0,3,3,3,3,6,-1,-1,-1,-1,,
17,21,10,18,13,493.75,-1,-1,0,3,4,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,348.5,1,19,1,4,4,2,4,6,-1,-1,-1,-1,,
2,13,21,28,12,181.9,31,39,0,2,4,3,3,6,-1,-1,-1,-1,,
4,6,8,-1,-1,203,3,0,1,3,4,2,2,6,-1,-1,-1,-1,,
39,14,0,49,7,203,-1,-1,1,3,4,4,4,3,7,-1,-1,-1,,
4,6,8,-1,-1,255.5,44,50,0,2,4,4,2,-2,6,-1,-1,-1,,
17,51,33,50,8,386.5,-1,-1,1,2,-2,4,4,3,4,3,7,-1,,
5,7,10,-1,-1,636,42,41,0,2,3,4,2,-2,2,-2,6,-1,,
18,22,24,1,37,499.25,47,14,1,3,4,3,4,2,6,-1,-1,-1,,
4,7,9,-1,-1,341.8,19,46,0,2,2,-2,4,3,6,-1,-1,-1,,
22,12,0,26,21,607.5,20,16,1,3,4,2,2,2,6,-1,-1,-1,,
4,8,12,-1,-1,200,-1,-1,0,2,2,3,2,9,7,-1,-1,-1,,
39,38,6,14,18,291,48,8,1,3,4,2,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,201,49,12,0,2,4,3,4,6,-1,-1,-1,-1,,
47,33,51,9,14,238.75,42,32,1,3,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,200,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
1,8,37,38,27,250.25,33,50,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,200,46,34,1,3,4,4,4,6,-1,-1,-1,-1,,
24,36,43,33,49,200,-1,-1,0,2,2,9,7,-1,-1,-1,-1,-1,,
7,7,7,-1,-1,202,38,39,1,2,9,-2,6,-1,-1,-1,-1,-1,,
32,5,49,24,26,166.8,-1,-1,1,3,4,3,4,4,3,7,-1,-1,,
4,7,9,-1,-1,120,22,25,0,2,2,-2,4,2,-2,6,-1,-1,,
44,6,25,35,45,134.8,49,17,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,151.5,36,12,1,3,4,4,4,6,-1,-1,-1,-1,,
39,41,20,43,31,285,24,50,1,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,206.5,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1,,
37,6,29,42,28,332.85,51,41,1,2,-2,2,4,2,6,-1,-1,-1,,
5,7,9,-1,-1,93.1,31,44,0,3,3,3,4,3,6,-1,-1,-1,,
