Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9
32,21,20,34,8,206,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,400,46,14,1,3,4,4,4,6,-1,-1,-1,-1
12,50,37,5,19,190,-1,-1,0,3,4,3,3,7,-1,-1,-1,-1
4,6,8,-1,-1,415.5,6,4,1,4,4,2,2,6,-1,-1,-1,-1
9,35,22,43,33,134,36,27,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,470.1,16,0,1,4,4,4,4,6,-1,-1,-1,-1
44,46,47,26,12,262.5,20,33,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,234.2,30,19,1,4,4,4,4,6,-1,-1,-1,-1
43,10,26,30,42,129.6,51,3,1,2,9,-2,6,-1,-1,-1,-1,-1
7,7,7,-1,-1,473.6,31,29,0,2,2,3,6,-1,-1,-1,-1,-1
36,6,31,40,27,214,-1,-1,0,3,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,588.2,39,23,1,4,4,3,4,4,6,-1,-1,-1
19,20,13,27,51,406.2,8,15,1,3,4,3,4,2,6,-1,-1,-1
4,7,9,-1,-1,400,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1
15,36,24,13,38,455.2,30,43,1,3,2,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,405.5,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
20,30,10,15,0,534.2,14,51,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,325.5,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
5,31,34,51,20,120.15,37,25,0,3,3,2,-2,4,9,6,-1,-1
5,8,10,-1,-1,400,48,42,1,2,-2,4,3,4,2,6,-1,-1
44,31,4,27,47,239.8,43,23,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,400,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
0,47,50,39,17,490.2,19,20,0,3,4,4,4,6,-1,-1,-1,-1
